"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63570101,7,3,1,2,0
63570102,5,1,0,0,0
63570103,12,3,1,2,1
63570104,1,5,0,0,0
63570105,1,1,0,0,1
63570106,2,5,0,0,0
63570107,0,2,0,1,0
63570108,0,2,0,2,0
63570109,1,2,0,1,0
63570201,4,1,0,1,0
63570202,0,1,0,0,0
63570203,1,3,0,2,2
63570204,0,1,0,0,0
63570205,1,0,1,0,0
63570206,0,0,0,2,0
63570207,0,0,0,0,0
63570208,0,5,0,1,0
63570209,2,4,0,2,0
63570210,0,1,0,0,0
63570211,0,1,0,1,0
63570301,4,5,0,1,0
63570302,2,1,1,0,0
63570303,6,3,0,0,0
63570304,13,4,7,0,1
63570305,2,0,0,0,0
63570306,0,0,0,1,0
63570307,2,0,0,0,0
63570308,2,3,0,0,0
63570309,0,0,0,0,0
63570310,3,0,0,1,0
63570311,2,2,0,0,0
63570312,0,1,1,1,0
63570313,0,1,0,0,0
63570314,0,1,0,0,0
63570315,0,1,0,0,0
63570401,1,2,0,0,0
63570402,2,2,0,0,0
63570403,1,1,0,0,0
63570404,1,4,0,0,1
63570405,0,3,0,1,0
63570406,0,1,0,0,0
63570407,0,0,0,0,1
63570408,2,0,0,0,0
63570409,1,1,0,1,1
63570410,0,1,0,0,1
63570411,0,0,0,0,0
63570412,1,1,0,2,0
63570501,4,3,2,3,1
63570502,1,0,0,2,0
63570503,0,0,0,1,0
63570504,0,3,0,0,0
63570505,0,0,0,0,0
63570506,0,3,0,0,1
63570507,1,0,0,1,0
63570508,0,0,0,0,0
63570509,0,3,0,1,2
63570510,0,1,0,1,0
63570511,3,1,0,1,0
63570512,1,0,0,1,0
63570513,0,0,2,0,0
63570514,2,1,0,0,0
63570601,10,7,1,3,1
63570602,3,1,6,4,0
63570603,1,0,0,1,0
63570604,0,10,0,2,1
63570605,3,0,0,2,1
63570606,2,2,1,1,0
63570607,1,3,0,0,0
63570608,1,1,0,0,0
63570609,3,2,0,0,0
63570610,1,2,0,0,0
63570611,0,3,0,0,0
63570701,3,0,3,2,1
63570702,1,2,0,2,2
63570703,0,2,0,1,1
63570704,1,0,0,1,0
63570705,6,13,1,0,0
63570706,6,1,0,5,0
63570707,5,3,1,1,1
63570708,1,3,0,1,0
63570709,4,5,1,1,1
63570710,4,1,2,4,0
63570711,4,3,2,0,1
63570801,19,13,0,3,2
63570802,5,9,1,2,1
63570803,4,0,1,5,1
63570804,4,0,0,0,0
63570805,2,1,0,3,1
63570806,4,2,0,2,1
63570807,3,4,0,0,1
63570808,1,4,1,0,0
63570809,2,2,0,3,1
63570810,3,2,0,1,3
63570811,6,4,0,1,0
63570812,3,2,3,1,1
63570813,0,1,1,0,0
63570814,2,3,0,0,1
63570901,8,5,2,2,1
63570902,14,6,0,2,3
63570903,13,12,1,0,1
63570904,5,6,2,0,2
63570905,10,7,0,1,1
63570906,11,8,3,4,2
63570907,11,5,3,7,4
63570908,14,2,4,3,3
63570909,16,2,3,2,1
63570910,6,3,5,5,2
63570911,3,1,0,1,1
63570912,7,7,1,4,0
63570913,6,5,0,1,1
63570914,7,7,2,2,1
63571001,0,2,0,0,0
63571002,0,2,0,0,0
63571003,1,0,0,0,1
63571004,3,1,0,1,0
63571005,21,11,4,9,7
63571006,2,2,0,1,1
63571007,19,4,2,5,0
63571008,23,6,5,4,1
63571009,3,3,1,1,0
63571010,3,5,0,2,1
63571011,7,3,3,1,1
63571012,4,3,0,0,0
63571013,4,1,0,4,4
63571014,3,2,1,0,1
63571015,3,5,0,1,0
63571016,4,0,0,1,0
63571101,2,0,0,3,0
63571102,8,10,0,1,1
63571103,5,2,0,3,0
63571104,7,2,2,1,0
63571105,16,5,2,4,2
63571106,8,3,2,1,1
63571107,8,5,0,2,1
63571108,5,2,1,0,0
63571109,3,2,0,3,1
63571110,6,3,0,2,0
63571111,7,5,0,1,1
63571112,10,3,1,5,0
63571113,10,7,3,1,1
63571114,24,22,9,4,3
63571115,2,3,0,0,0
63571201,4,3,1,1,7
63571202,8,7,4,1,0
63571203,13,5,0,4,2
63571204,4,2,2,1,1
63571205,4,1,0,0,0
63571206,1,2,0,1,0
63571207,6,3,0,1,0
