"radio_id","hogares_con_nbi","hogares_sin_nbi"
63570101,13,326
63570102,6,397
63570103,17,440
63570104,6,529
63570105,3,420
63570106,7,297
63570107,3,254
63570108,4,429
63570109,4,317
63570201,5,387
63570202,1,366
63570203,8,384
63570204,1,222
63570205,2,324
63570206,2,350
63570207,0,246
63570208,6,258
63570209,8,415
63570210,1,308
63570211,2,206
63570301,10,407
63570302,4,133
63570303,9,227
63570304,22,297
63570305,2,321
63570306,1,211
63570307,2,371
63570308,5,411
63570309,0,256
63570310,4,382
63570311,4,220
63570312,3,168
63570313,1,211
63570314,1,221
63570315,1,225
63570401,3,292
63570402,4,229
63570403,2,251
63570404,6,177
63570405,4,201
63570406,1,225
63570407,1,218
63570408,2,377
63570409,4,330
63570410,2,152
63570411,0,141
63570412,3,123
63570501,12,432
63570502,3,364
63570503,1,271
63570504,3,309
63570505,0,217
63570506,4,260
63570507,2,218
63570508,0,235
63570509,6,398
63570510,2,375
63570511,4,240
63570512,2,298
63570513,2,186
63570514,3,202
63570601,20,372
63570602,12,291
63570603,2,273
63570604,13,395
63570605,6,312
63570606,6,262
63570607,4,378
63570608,2,365
63570609,5,444
63570610,3,375
63570611,3,313
63570701,8,308
63570702,6,376
63570703,4,339
63570704,2,438
63570705,18,461
63570706,12,418
63570707,11,318
63570708,5,228
63570709,12,460
63570710,11,288
63570711,9,286
63570801,34,408
63570802,16,339
63570803,11,210
63570804,4,325
63570805,7,326
63570806,8,297
63570807,7,368
63570808,6,266
63570809,8,363
63570810,8,387
63570811,11,383
63570812,10,418
63570813,2,238
63570814,6,181
63570901,17,318
63570902,24,308
63570903,25,293
63570904,14,348
63570905,18,398
63570906,26,428
63570907,29,313
63570908,24,309
63570909,23,342
63570910,21,435
63570911,6,304
63570912,18,446
63570913,13,364
63570914,18,209
63571001,2,270
63571002,2,249
63571003,1,370
63571004,5,149
63571005,46,354
63571006,6,254
63571007,25,222
63571008,35,372
63571009,8,152
63571010,11,288
63571011,11,312
63571012,7,254
63571013,13,189
63571014,7,200
63571015,9,190
63571016,5,205
63571101,5,191
63571102,19,354
63571103,10,295
63571104,10,267
63571105,27,392
63571106,13,177
63571107,15,301
63571108,7,260
63571109,9,232
63571110,11,281
63571111,13,317
63571112,19,336
63571113,19,148
63571114,54,254
63571115,5,180
63571201,16,223
63571202,19,220
63571203,24,373
63571204,10,351
63571205,5,324
63571206,4,208
63571207,8,261
63571208,24,289
63571209,9,232
63571210,3,166
63571301,8,283
63571302,6,323
63571303,9,453
63571304,9,256
63571305,7,295
63571306,16,424
63571307,20,352
63571308,8,277
63571309,5,210
63571310,3,75
63571401,16,337
63571402,19,405
63571403,5,430
63571404,12,373
63571405,4,262
63571406,5,323
63571407,12,387
63571408,10,339
63571409,4,304
63571501,1,237
63571502,2,236
63571503,6,296
63571504,9,200
63571505,44,445
63571506,10,272
63571507,2,578
63571508,5,408
63571509,15,402
63571510,5,356
63571511,9,169
63571512,4,178
63571513,11,199
63571514,0,82
63571601,9,385
63571602,12,280
63571603,8,364
63571604,6,269
63571605,29,245
63571606,4,266
63571607,1,212
63571608,14,255
63571609,2,163
63571610,8,197
63571611,10,264
63571612,2,200
63571613,1,240
63571614,5,148
63571701,3,357
63571702,1,189
63571703,2,241
63571704,1,208
63571705,4,388
63571706,3,234
63571707,4,232
63571708,1,176
63571709,5,412
63571710,4,333
63571711,2,205
63571712,0,233
63571801,2,279
63571802,2,316
63571803,2,173
63571804,0,166
63571805,1,190
63571806,2,199
63571807,2,132
63571808,2,265
63571809,3,289
63571810,0,160
63571811,3,132
63571812,0,169
63571813,3,172
63571814,2,164
63571815,3,117
63571901,24,322
63571902,4,232
63571903,3,225
63571904,2,234
63571905,1,201
63571906,7,168
63571907,4,320
63571908,3,153
63571909,1,147
63571910,1,168
63571911,2,124
63571912,0,139
63571913,0,131
63572001,4,271
63572002,4,416
63572003,1,218
63572004,1,191
63572005,4,130
63572006,3,153
63572007,10,237
63572008,1,52
63572009,2,138
63572101,4,153
63572102,0,223
63572103,1,228
63572104,3,196
63572105,16,158
63572106,1,204
63572107,5,226
63572108,4,244
63572109,0,126
63572110,1,158
63572111,0,89
63572201,2,241
63572202,5,149
63572203,2,180
63572204,11,212
63572205,9,254
63572206,1,155
63572207,2,265
63572208,9,233
63572209,5,269
63572210,10,210
63572211,1,164
63572212,1,223
63572213,8,186
63572214,0,206
63572215,1,77
63572216,2,153
63572301,1,107
63572302,1,51
63572303,2,184
63572304,0,154
63572305,8,224
63572306,1,136
63572307,1,13
63572308,4,162
63572309,3,209
63572310,2,71
63572311,1,124
63572401,1,79
63572402,7,88
63572403,12,245
63572404,7,152
63572405,11,266
63572501,45,707
63572502,9,286
63572503,6,187
63572601,4,292
63572602,11,331
63572603,4,392
63572604,7,267
63572701,1,178
63572702,3,189
63572703,5,253
63572704,4,184
63572705,9,276
63572801,4,289
63572802,2,212
63572803,0,182
63572804,1,137
63572805,0,244
63572806,1,192
63572901,0,222
63572902,3,140
63572903,6,157
63572904,10,217
63572905,3,97
63572906,4,276
63573001,2,172
63573002,4,233
63573003,1,109
63573004,4,221
63573005,0,235
63573006,0,270
63573007,1,146
63573008,0,129
63573009,0,219
63573010,4,187
63573011,5,257
63573101,3,280
63573102,0,273
63573103,2,205
63573104,0,157
63573105,0,263
63573106,6,212
63573107,2,367
63573108,0,67
63573109,28,305
63573110,3,302
63573201,4,277
63573202,3,283
63573203,3,334
63573204,2,185
63573205,0,151
63573206,3,229
63573207,0,199
63573208,5,141
63573209,1,310
63573210,6,316
63573211,1,157
63573212,3,95
63573301,2,305
63573302,2,207
63573303,1,337
63573304,1,211
63573305,1,303
63573306,1,300
63573307,1,99
63573308,2,239
63573309,1,291
63573310,1,213
63573311,4,262
63573312,1,164
63573313,2,138
63573314,2,213
63573315,0,89
63573401,4,232
63573402,4,238
63573403,0,192
63573404,6,444
63573405,0,354
63573406,2,196
63573407,7,246
63573408,3,98
63573501,5,320
63573502,3,358
63573503,0,241
63573504,2,275
63573505,2,205
63573506,2,244
63573507,1,216
63573508,3,326
63573509,14,330
63573510,3,160
63573511,5,163
63573512,2,121
63573601,2,274
63573602,12,276
63573603,8,280
63573604,11,350
63573605,1,68
63573701,2,151
63573702,0,241
63573703,3,238
63573704,2,156
63573705,4,185
63573706,3,312
63573707,2,269
63573708,3,173
63573709,4,182
63573801,9,276
63573802,6,255
63573803,7,308
63573804,8,364
63573901,3,271
63573902,4,204
63573903,3,245
63573904,7,290
63573905,4,190
63573906,2,109
63573907,2,224
63573908,1,215
63573909,7,112
63574001,0,47
63574002,1,183
63574003,2,199
63574004,5,281
63574005,2,326
63574006,6,221
63574007,6,370
63574008,5,234
63574101,7,105
63574102,4,212
63574103,8,347
63574104,12,300
63574105,10,289
63574106,0,72
63574107,1,65
63574108,0,114
63574201,1,214
63574202,2,136
63574203,3,129
63574204,2,109
63574205,11,190
63574206,1,222
63574207,1,127
63574301,1,123
63574302,1,113
63574303,2,183
63574304,0,218
63574305,0,104
63574306,2,139
63574307,1,192
63574308,1,66
63574309,0,131
63574310,0,128
63574311,0,106
63574312,1,142
63574401,1,263
63574402,3,248
63574403,5,261
63574404,4,281
63574405,3,285
63574406,2,187
63574407,3,211
63574408,0,189
63574409,0,159
63574501,2,260
63574502,1,149
63574503,7,216
63574504,4,184
63574505,3,196
63574506,1,195
63574507,1,212
63574508,0,194
63574509,2,230
63574510,0,188
63574511,1,144
63574512,0,200
63574601,1,217
63574602,0,175
63574603,7,332
63574604,0,191
63574605,1,148
63574606,7,298
63574607,1,224
63574608,7,245
63574609,2,280
63574610,1,242
63574611,5,266
63574612,0,262
63574613,0,265
63574614,2,119
63574701,3,344
63574702,2,298
63574703,0,365
63574704,2,290
63574705,1,201
63574706,1,281
63574707,0,243
63574708,1,176
63574709,2,281
63574710,3,260
63574711,0,196
63574712,1,178
63574713,1,198
63574801,5,186
63574802,8,400
63574803,10,328
63574804,2,145
63574805,1,178
63574806,7,198
63574807,4,254
63574808,4,197
63574809,2,179
63574810,6,218
63574811,4,314
