"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578914","0. __tot__",366,171,195
"63578914","1. 00 A 04",19,7,12
"63578914","2. 05 A 09",34,17,17
"63578914","3. 10 A 14",26,11,15
"63578914","4. 15 A 19",41,20,21
"63578914","5. 20 A 24",24,9,15
"63578914","6. 25 A 29",12,5,7
"63578914","7. 30 A 34",16,6,10
"63578914","8. 35 A 39",33,19,14
"63578914","9. 40 A 44",27,12,15
"63578914","10. 45 A 49",44,25,19
"63578914","11. 50 A 54",36,16,20
"63578914","12. 55 A 59",21,9,12
"63578914","13. 60 A 64",17,9,8
"63578914","14. 65 A 69",6,3,3
"63578914","15. 70 A 74",1,NA,1
"63578914","16. 75 A 79",4,1,3
"63578914","17. 80 A 84",2,NA,2
"63578914","18. 85 A 89",2,1,1
"63578914","19. 90 A 94",1,1,NA
