radio_id,edad,total,mujeres,varones
063577301,0. __tot__,610,301.0,309.0
063577301,1. 00 A 04,68,30.0,38.0
063577301,2. 05 A 09,73,37.0,36.0
063577301,3. 10 A 14,59,29.0,30.0
063577301,4. 15 A 19,49,26.0,23.0
063577301,5. 20 A 24,59,32.0,27.0
063577301,6. 25 A 29,50,25.0,25.0
063577301,7. 30 A 34,33,18.0,15.0
063577301,8. 35 A 39,54,27.0,27.0
063577301,9. 40 A 44,37,19.0,18.0
063577301,10. 45 A 49,30,13.0,17.0
063577301,11. 50 A 54,18,8.0,10.0
063577301,12. 55 A 59,19,7.0,12.0
063577301,13. 60 A 64,17,7.0,10.0
063577301,14. 65 A 69,14,9.0,5.0
063577301,15. 70 A 74,12,5.0,7.0
063577301,16. 75 A 79,12,5.0,7.0
063577301,17. 80 A 84,3,2.0,1.0
063577301,18. 85 A 89,2,1.0,1.0
063577301,20. 95 A 99,1,1.0,
063577302,0. __tot__,230,114.0,116.0
063577302,1. 00 A 04,16,5.0,11.0
063577302,2. 05 A 09,22,15.0,7.0
063577302,3. 10 A 14,27,17.0,10.0
063577302,4. 15 A 19,22,10.0,12.0
063577302,5. 20 A 24,18,6.0,12.0
063577302,6. 25 A 29,20,12.0,8.0
063577302,7. 30 A 34,21,10.0,11.0
063577302,8. 35 A 39,16,11.0,5.0
063577302,9. 40 A 44,8,3.0,5.0
063577302,10. 45 A 49,11,5.0,6.0
063577302,11. 50 A 54,14,5.0,9.0
063577302,12. 55 A 59,8,4.0,4.0
063577302,13. 60 A 64,8,5.0,3.0
063577302,14. 65 A 69,10,4.0,6.0
063577302,15. 70 A 74,2,1.0,1.0
063577302,16. 75 A 79,6,1.0,5.0
063577302,17. 80 A 84,1,,1.0
063577303,0. __tot__,53,30.0,23.0
063577303,1. 00 A 04,2,1.0,1.0
063577303,2. 05 A 09,10,8.0,2.0
063577303,3. 10 A 14,4,2.0,2.0
063577303,4. 15 A 19,7,5.0,2.0
063577303,5. 20 A 24,2,1.0,1.0
063577303,6. 25 A 29,6,2.0,4.0
063577303,7. 30 A 34,2,1.0,1.0
063577303,8. 35 A 39,3,3.0,
063577303,9. 40 A 44,7,3.0,4.0
063577303,10. 45 A 49,2,,2.0
063577303,11. 50 A 54,1,,1.0
063577303,12. 55 A 59,3,3.0,
063577303,13. 60 A 64,2,,2.0
063577303,14. 65 A 69,1,1.0,
063577303,15. 70 A 74,1,,1.0
063577304,0. __tot__,661,324.0,337.0
063577304,1. 00 A 04,48,23.0,25.0
063577304,2. 05 A 09,62,31.0,31.0
063577304,3. 10 A 14,80,37.0,43.0
063577304,4. 15 A 19,67,40.0,27.0
063577304,5. 20 A 24,59,21.0,38.0
063577304,6. 25 A 29,53,27.0,26.0
063577304,7. 30 A 34,45,20.0,25.0
063577304,8. 35 A 39,48,22.0,26.0
063577304,9. 40 A 44,41,22.0,19.0
063577304,10. 45 A 49,32,16.0,16.0
063577304,11. 50 A 54,34,19.0,15.0
063577304,12. 55 A 59,19,9.0,10.0
063577304,13. 60 A 64,23,9.0,14.0
063577304,14. 65 A 69,13,7.0,6.0
063577304,15. 70 A 74,12,7.0,5.0
063577304,16. 75 A 79,14,7.0,7.0
063577304,17. 80 A 84,4,2.0,2.0
063577304,18. 85 A 89,2,2.0,
063577304,19. 90 A 94,3,2.0,1.0
063577304,20. 95 A 99,2,1.0,1.0
063577305,0. __tot__,971,499.0,472.0
063577305,1. 00 A 04,74,35.0,39.0
063577305,2. 05 A 09,95,52.0,43.0
063577305,3. 10 A 14,74,38.0,36.0
063577305,4. 15 A 19,96,50.0,46.0
063577305,5. 20 A 24,91,45.0,46.0
063577305,6. 25 A 29,95,58.0,37.0
063577305,7. 30 A 34,76,38.0,38.0
063577305,8. 35 A 39,64,31.0,33.0
063577305,9. 40 A 44,59,28.0,31.0
063577305,10. 45 A 49,47,21.0,26.0
063577305,11. 50 A 54,45,24.0,21.0
063577305,12. 55 A 59,43,22.0,21.0
063577305,13. 60 A 64,38,21.0,17.0
063577305,14. 65 A 69,34,18.0,16.0
063577305,15. 70 A 74,22,9.0,13.0
063577305,16. 75 A 79,9,4.0,5.0
063577305,17. 80 A 84,6,4.0,2.0
063577305,18. 85 A 89,2,1.0,1.0
063577305,22. 105 Y MÃS,1,,1.0
063577306,0. __tot__,27,11.0,16.0
063577306,1. 00 A 04,1,1.0,
063577306,2. 05 A 09,2,1.0,1.0
063577306,3. 10 A 14,3,1.0,2.0
063577306,4. 15 A 19,1,,1.0
063577306,5. 20 A 24,3,3.0,
063577306,6. 25 A 29,2,1.0,1.0
063577306,7. 30 A 34,8,2.0,6.0
063577306,9. 40 A 44,2,1.0,1.0
063577306,10. 45 A 49,2,1.0,1.0
063577306,12. 55 A 59,1,,1.0
063577306,13. 60 A 64,2,,2.0
063577307,0. __tot__,145,66.0,79.0
063577307,1. 00 A 04,5,4.0,1.0
063577307,2. 05 A 09,7,5.0,2.0
063577307,3. 10 A 14,9,6.0,3.0
063577307,4. 15 A 19,19,4.0,15.0
063577307,5. 20 A 24,15,4.0,11.0
063577307,6. 25 A 29,8,5.0,3.0
063577307,7. 30 A 34,13,7.0,6.0
063577307,8. 35 A 39,10,5.0,5.0
063577307,9. 40 A 44,8,4.0,4.0
063577307,10. 45 A 49,12,6.0,6.0
063577307,11. 50 A 54,6,1.0,5.0
063577307,12. 55 A 59,10,4.0,6.0
063577307,13. 60 A 64,8,5.0,3.0
063577307,14. 65 A 69,1,,1.0
063577307,15. 70 A 74,4,1.0,3.0
063577307,16. 75 A 79,4,3.0,1.0
063577307,17. 80 A 84,3,2.0,1.0
063577307,18. 85 A 89,1,,1.0
063577307,19. 90 A 94,2,,2.0
063577308,0. __tot__,230,106.0,124.0
063577308,1. 00 A 04,14,10.0,4.0
063577308,2. 05 A 09,30,10.0,20.0
063577308,3. 10 A 14,27,14.0,13.0
063577308,4. 15 A 19,15,8.0,7.0
063577308,5. 20 A 24,19,6.0,13.0
063577308,6. 25 A 29,13,10.0,3.0
063577308,7. 30 A 34,17,5.0,12.0
063577308,8. 35 A 39,17,9.0,8.0
063577308,9. 40 A 44,13,7.0,6.0
063577308,10. 45 A 49,20,11.0,9.0
063577308,11. 50 A 54,6,2.0,4.0
063577308,12. 55 A 59,7,3.0,4.0
063577308,13. 60 A 64,11,4.0,7.0
063577308,14. 65 A 69,6,1.0,5.0
