radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63570101,13,326,7,3,1,2,0,339,0.038348082595870206
63570102,6,397,5,1,0,0,0,403,0.01488833746898263
63570103,17,440,12,3,1,2,1,457,0.037199124726477024
63570104,6,529,1,5,0,0,0,535,0.011214953271028037
63570105,3,420,1,1,0,0,1,423,0.0070921985815602835
63570106,7,297,2,5,0,0,0,304,0.023026315789473683
63570107,3,254,0,2,0,1,0,257,0.011673151750972763
63570108,4,429,0,2,0,2,0,433,0.009237875288683603
63570109,4,317,1,2,0,1,0,321,0.012461059190031152
63570201,5,387,4,1,0,1,0,392,0.012755102040816327
63570202,1,366,0,1,0,0,0,367,0.0027247956403269754
63570203,8,384,1,3,0,2,2,392,0.02040816326530612
63570204,1,222,0,1,0,0,0,223,0.004484304932735426
63570205,2,324,1,0,1,0,0,326,0.006134969325153374
63570206,2,350,0,0,0,2,0,352,0.005681818181818182
63570207,0,246,0,0,0,0,0,246,0.0
63570208,6,258,0,5,0,1,0,264,0.022727272727272728
63570209,8,415,2,4,0,2,0,423,0.018912529550827423
63570210,1,308,0,1,0,0,0,309,0.003236245954692557
63570211,2,206,0,1,0,1,0,208,0.009615384615384616
63570301,10,407,4,5,0,1,0,417,0.023980815347721823
63570302,4,133,2,1,1,0,0,137,0.029197080291970802
63570303,9,227,6,3,0,0,0,236,0.038135593220338986
63570304,22,297,13,4,7,0,1,319,0.06896551724137931
63570305,2,321,2,0,0,0,0,323,0.006191950464396285
63570306,1,211,0,0,0,1,0,212,0.0047169811320754715
63570307,2,371,2,0,0,0,0,373,0.005361930294906166
63570308,5,411,2,3,0,0,0,416,0.01201923076923077
63570309,0,256,0,0,0,0,0,256,0.0
63570310,4,382,3,0,0,1,0,386,0.010362694300518135
63570311,4,220,2,2,0,0,0,224,0.017857142857142856
63570312,3,168,0,1,1,1,0,171,0.017543859649122806
63570313,1,211,0,1,0,0,0,212,0.0047169811320754715
63570314,1,221,0,1,0,0,0,222,0.0045045045045045045
63570315,1,225,0,1,0,0,0,226,0.004424778761061947
63570401,3,292,1,2,0,0,0,295,0.010169491525423728
63570402,4,229,2,2,0,0,0,233,0.017167381974248927
63570403,2,251,1,1,0,0,0,253,0.007905138339920948
63570404,6,177,1,4,0,0,1,183,0.03278688524590164
63570405,4,201,0,3,0,1,0,205,0.01951219512195122
63570406,1,225,0,1,0,0,0,226,0.004424778761061947
63570407,1,218,0,0,0,0,1,219,0.0045662100456621
63570408,2,377,2,0,0,0,0,379,0.005277044854881266
63570409,4,330,1,1,0,1,1,334,0.011976047904191617
63570410,2,152,0,1,0,0,1,154,0.012987012987012988
63570411,0,141,0,0,0,0,0,141,0.0
63570412,3,123,1,1,0,2,0,126,0.023809523809523808
63570501,12,432,4,3,2,3,1,444,0.02702702702702703
63570502,3,364,1,0,0,2,0,367,0.008174386920980926
63570503,1,271,0,0,0,1,0,272,0.003676470588235294
63570504,3,309,0,3,0,0,0,312,0.009615384615384616
63570505,0,217,0,0,0,0,0,217,0.0
63570506,4,260,0,3,0,0,1,264,0.015151515151515152
63570507,2,218,1,0,0,1,0,220,0.00909090909090909
63570508,0,235,0,0,0,0,0,235,0.0
63570509,6,398,0,3,0,1,2,404,0.01485148514851485
63570510,2,375,0,1,0,1,0,377,0.005305039787798408
63570511,4,240,3,1,0,1,0,244,0.01639344262295082
63570512,2,298,1,0,0,1,0,300,0.006666666666666667
63570513,2,186,0,0,2,0,0,188,0.010638297872340425
63570514,3,202,2,1,0,0,0,205,0.014634146341463415
63570601,20,372,10,7,1,3,1,392,0.05102040816326531
63570602,12,291,3,1,6,4,0,303,0.039603960396039604
63570603,2,273,1,0,0,1,0,275,0.007272727272727273
63570604,13,395,0,10,0,2,1,408,0.031862745098039214
63570605,6,312,3,0,0,2,1,318,0.018867924528301886
63570606,6,262,2,2,1,1,0,268,0.022388059701492536
63570607,4,378,1,3,0,0,0,382,0.010471204188481676
63570608,2,365,1,1,0,0,0,367,0.005449591280653951
63570609,5,444,3,2,0,0,0,449,0.011135857461024499
63570610,3,375,1,2,0,0,0,378,0.007936507936507936
63570611,3,313,0,3,0,0,0,316,0.00949367088607595
63570701,8,308,3,0,3,2,1,316,0.02531645569620253
63570702,6,376,1,2,0,2,2,382,0.015706806282722512
63570703,4,339,0,2,0,1,1,343,0.011661807580174927
63570704,2,438,1,0,0,1,0,440,0.004545454545454545
63570705,18,461,6,13,1,0,0,479,0.037578288100208766
63570706,12,418,6,1,0,5,0,430,0.027906976744186046
63570707,11,318,5,3,1,1,1,329,0.03343465045592705
63570708,5,228,1,3,0,1,0,233,0.02145922746781116
63570709,12,460,4,5,1,1,1,472,0.025423728813559324
63570710,11,288,4,1,2,4,0,299,0.03678929765886288
63570711,9,286,4,3,2,0,1,295,0.030508474576271188
63570801,34,408,19,13,0,3,2,442,0.07692307692307693
63570802,16,339,5,9,1,2,1,355,0.04507042253521127
63570803,11,210,4,0,1,5,1,221,0.049773755656108594
63570804,4,325,4,0,0,0,0,329,0.0121580547112462
63570805,7,326,2,1,0,3,1,333,0.021021021021021023
63570806,8,297,4,2,0,2,1,305,0.02622950819672131
63570807,7,368,3,4,0,0,1,375,0.018666666666666668
63570808,6,266,1,4,1,0,0,272,0.022058823529411766
