radio_id,poblacion_total,mujeres_total,varones_total
63570101,974,470,504.0
63570102,1117,572,545.0
63570103,1352,683,669.0
63570104,1475,750,725.0
63570105,1154,604,550.0
63570106,792,419,373.0
63570107,651,361,290.0
63570108,1193,625,568.0
63570109,919,460,459.0
63570201,1116,547,569.0
63570202,1039,534,505.0
63570203,1087,562,525.0
63570204,636,319,317.0
63570205,808,408,400.0
63570206,923,487,436.0
63570207,679,363,316.0
63570208,644,338,306.0
63570209,1218,622,596.0
63570210,854,438,416.0
63570211,574,295,279.0
63570301,1105,563,542.0
63570302,391,190,201.0
63570303,597,286,311.0
63570304,884,452,432.0
63570305,856,449,407.0
63570306,612,328,284.0
63570307,886,503,383.0
63570308,1080,547,533.0
63570309,736,357,379.0
63570310,1054,530,524.0
63570311,623,318,305.0
63570312,449,212,237.0
63570313,578,297,281.0
63570314,617,331,286.0
63570315,617,309,308.0
63570401,774,422,352.0
63570402,505,258,247.0
63570403,522,272,250.0
63570404,444,236,208.0
63570405,548,296,252.0
63570406,594,319,275.0
63570407,575,305,270.0
63570408,945,504,441.0
63570409,899,468,431.0
63570410,349,177,172.0
63570411,300,148,152.0
63570412,267,143,124.0
63570501,1169,609,560.0
63570502,1011,550,461.0
63570503,684,363,321.0
63570504,781,399,382.0
63570505,546,295,251.0
63570506,653,350,303.0
63570507,540,297,243.0
63570508,568,302,266.0
63570509,1030,544,486.0
63570510,1007,509,498.0
63570511,540,273,267.0
63570512,677,368,309.0
63570513,415,220,195.0
63570514,420,224,196.0
63570601,1120,612,508.0
63570602,793,414,379.0
63570603,736,384,352.0
63570604,1053,572,481.0
63570605,870,443,427.0
63570606,681,361,320.0
63570607,878,482,396.0
63570608,918,473,445.0
63570609,1174,638,536.0
63570610,988,528,460.0
63570611,779,398,381.0
63570701,799,443,356.0
63570702,1038,537,501.0
63570703,946,476,470.0
63570704,1292,636,656.0
63570705,1413,742,671.0
63570706,1214,610,604.0
63570707,910,477,433.0
63570708,639,336,303.0
63570709,1380,703,677.0
63570710,857,448,409.0
63570711,857,455,402.0
63570801,1337,674,663.0
63570802,1012,516,496.0
63570803,606,342,264.0
63570804,883,460,423.0
63570805,931,478,453.0
63570806,839,445,394.0
63570807,965,521,444.0
63570808,692,383,309.0
63570809,967,504,463.0
63570810,1020,525,495.0
63570811,1039,558,481.0
63570812,1149,608,541.0
63570813,624,337,287.0
63570814,499,268,231.0
63570901,984,504,480.0
63570902,934,459,475.0
63570903,958,487,471.0
63570904,1057,556,501.0
63570905,1228,636,592.0
63570906,1321,678,643.0
63570907,1191,615,576.0
63570908,1051,540,511.0
63570909,1103,575,528.0
63570910,1336,713,623.0
63570911,910,457,453.0
63570912,1324,669,655.0
63570913,1086,555,531.0
63570914,663,338,325.0
63571001,765,387,378.0
63571002,675,352,323.0
63571003,1017,510,507.0
63571004,479,251,228.0
63571005,1336,681,655.0
63571006,774,412,362.0
63571007,903,426,477.0
63571008,1404,710,694.0
63571009,477,246,231.0
63571010,828,430,398.0
63571011,911,472,439.0
63571012,786,407,379.0
63571013,576,275,301.0
63571014,643,333,310.0
63571015,561,299,262.0
63571016,619,320,299.0
63571101,488,254,234.0
63571102,1154,589,565.0
63571103,900,461,439.0
63571104,907,468,439.0
63571105,1328,692,636.0
63571106,605,301,304.0
63571107,1067,540,527.0
63571108,740,391,349.0
63571109,683,364,319.0
63571110,872,446,426.0
63571111,959,503,456.0
63571112,1126,601,525.0
63571113,511,246,265.0
63571114,1025,513,512.0
63571115,560,285,275.0
63571201,820,420,400.0
63571202,787,392,395.0
63571203,1189,611,578.0
63571204,1007,525,482.0
63571205,952,502,450.0
63571206,599,326,273.0
63571207,708,362,346.0
63571208,821,435,386.0
63571209,661,350,311.0
63571210,409,228,181.0
63571301,810,427,383.0
63571302,827,428,399.0
63571303,1201,637,564.0
63571304,689,361,328.0
63571305,835,423,412.0
63571306,1312,685,627.0
63571307,1026,526,500.0
63571308,752,396,356.0
63571309,602,315,287.0
63571310,219,103,116.0
63571401,889,461,428.0
63571402,1065,555,510.0
63571403,1157,597,560.0
63571404,945,506,439.0
63571405,628,348,280.0
63571406,766,439,327.0
63571407,987,534,453.0
63571408,851,438,413.0
63571409,743,410,333.0
63571501,561,305,256.0
63571502,588,295,293.0
63571503,732,387,345.0
63571504,500,263,237.0
63571505,1246,668,578.0
63571506,723,383,340.0
63571507,1229,691,538.0
63571508,1003,567,436.0
63571509,987,544,443.0
63571510,817,462,355.0
63571511,403,212,191.0
63571512,428,223,205.0
63571513,558,301,257.0
63571514,192,99,93.0
63571601,1018,544,474.0
63571602,661,349,312.0
63571603,799,429,370.0
63571604,589,328,261.0
63571605,693,375,318.0
63571606,627,346,281.0
63571607,461,262,199.0
63571608,606,323,283.0
63571609,349,184,165.0
63571610,419,230,189.0
63571611,583,309,274.0
63571612,417,235,182.0
63571613,543,286,257.0
63571614,344,190,154.0
63571701,884,457,427.0
63571702,404,212,192.0
63571703,510,286,224.0
63571704,422,222,200.0
63571705,903,480,423.0
63571706,567,294,273.0
63571707,524,286,238.0
63571708,410,205,205.0
63571709,923,488,435.0
63571710,719,377,342.0
63571711,436,238,198.0
63571712,488,268,220.0
63571801,708,369,339.0
63571802,773,398,375.0
63571803,424,237,187.0
63571804,407,206,201.0
63571805,449,234,215.0
63571806,405,221,184.0
63571807,327,170,157.0
63571808,595,306,289.0
63571809,649,346,303.0
63571810,345,188,157.0
63571811,223,113,110.0
63571812,317,173,144.0
63571813,401,203,198.0
63571814,377,203,174.0
63571815,245,127,118.0
63571901,725,413,312.0
63571902,474,261,213.0
63571903,419,215,204.0
63571904,388,186,202.0
63571905,323,176,147.0
63571906,307,162,145.0
63571907,623,321,302.0
63571908,276,156,120.0
63571909,254,154,100.0
63571910,290,165,125.0
63571911,205,112,93.0
63571912,217,135,82.0
63571913,225,120,105.0
63572001,472,270,202.0
63572002,686,408,278.0
63572003,374,223,151.0
63572004,327,176,151.0
63572005,205,126,79.0
63572006,268,147,121.0
63572007,464,267,197.0
63572008,113,61,52.0
63572009,278,140,138.0
63572101,305,175,130.0
63572102,429,223,206.0
63572103,446,244,202.0
63572104,452,249,203.0
63572105,337,164,173.0
63572106,368,216,152.0
63572107,428,253,175.0
