radio_id,viviendas_ocupadas,viviendas_desocupadas,viviendas_totales
63570101,337,34,371
63570102,400,21,421
63570103,449,42,491
63570104,533,20,553
63570105,419,30,449
63570106,303,18,321
63570107,257,47,304
63570108,432,25,457
63570109,320,31,351
63570201,392,11,403
63570202,364,53,417
63570203,389,67,456
63570204,221,19,240
63570205,324,55,379
63570206,348,9,357
63570207,246,18,264
63570208,260,10,270
63570209,419,44,463
63570210,306,20,326
63570211,208,23,231
63570301,411,67,478
63570302,136,41,177
63570303,235,131,366
63570304,315,33,348
63570305,317,95,412
63570306,210,23,233
63570307,372,112,484
63570308,414,92,506
63570309,256,44,300
63570310,385,45,430
63570311,223,29,252
63570312,169,119,288
63570313,211,48,259
63570314,222,22,244
63570315,226,26,252
63570401,291,71,362
63570402,228,167,395
63570403,253,260,513
63570404,178,77,255
63570405,204,73,277
63570406,222,38,260
63570407,219,92,311
63570408,372,61,433
63570409,332,62,394
63570410,154,114,268
63570411,139,136,275
63570412,122,87,209
63570501,443,53,496
63570502,365,41,406
63570503,272,29,301
63570504,310,23,333
63570505,215,22,237
63570506,261,48,309
63570507,219,24,243
63570508,234,12,246
63570509,397,41,438
63570510,376,81,457
63570511,239,99,338
63570512,298,95,393
63570513,188,60,248
63570514,197,138,335
63570601,387,6,393
63570602,301,5,306
63570603,273,9,282
63570604,403,20,423
63570605,312,9,321
63570606,268,20,288
63570607,380,55,435
63570608,363,51,414
63570609,448,26,474
63570610,370,14,384
63570611,313,33,346
63570701,311,22,333
63570702,381,30,411
63570703,339,26,365
63570704,439,16,455
63570705,476,10,486
63570706,422,11,433
63570707,328,16,344
63570708,228,7,235
63570709,471,11,482
63570710,296,4,300
63570711,291,24,315
63570801,438,31,469
63570802,349,49,398
63570803,217,9,226
63570804,327,4,331
63570805,329,2,331
63570806,302,6,308
63570807,373,37,410
63570808,271,34,305
63570809,365,16,381
63570810,392,37,429
63570811,388,19,407
63570812,421,29,450
63570813,240,6,246
63570814,184,8,192
63570901,331,5,336
63570902,329,14,343
63570903,316,4,320
63570904,362,6,368
63570905,411,15,426
63570906,452,16,468
63570907,339,6,345
63570908,327,9,336
63570909,359,28,387
63570910,451,13,464
63570911,307,22,329
63570912,459,6,465
63570913,368,15,383
63570914,220,8,228
63571001,270,3,273
63571002,249,46,295
63571003,370,6,376
63571004,152,13,165
63571005,394,2,396
63571006,258,10,268
63571007,243,6,249
63571008,397,2,399
63571009,158,0,158
63571010,296,19,315
63571011,320,2,322
63571012,258,4,262
63571013,198,34,232
63571014,206,4,210
63571015,194,7,201
63571016,210,10,220
63571101,196,26,222
63571102,370,32,402
63571103,304,3,307
63571104,276,4,280
63571105,410,9,419
63571106,188,1,189
63571107,312,10,322
63571108,262,13,275
63571109,238,11,249
63571110,287,12,299
63571111,329,25,354
63571112,353,43,396
63571113,164,29,193
63571114,305,8,313
63571115,185,6,191
63571201,235,0,235
63571202,237,2,239
63571203,395,0,395
63571204,358,9,367
63571205,328,4,332
63571206,211,28,239
63571207,266,12,278
63571208,309,4,313
63571209,240,4,244
63571210,167,35,202
63571301,285,12,297
63571302,326,17,343
63571303,461,16,477
63571304,261,13,274
63571305,297,9,306
63571306,432,2,434
63571307,366,28,394
63571308,281,2,283
63571309,214,2,216
63571310,75,4,79
63571401,351,15,366
63571402,422,51,473
63571403,426,21,447
63571404,380,64,444
63571405,265,63,328
63571406,325,77,402
63571407,396,60,456
63571408,344,24,368
63571409,308,33,341
63571501,235,69,304
63571502,235,44,279
63571503,296,28,324
63571504,206,19,225
63571505,487,11,498
63571506,279,62,341
63571507,578,93,671
63571508,412,48,460
63571509,411,35,446
63571510,361,55,416
63571511,176,19,195
63571512,181,15,196
63571513,206,24,230
63571514,82,21,103
63571601,385,118,503
63571602,289,58,347
63571603,367,115,482
63571604,267,67,334
63571605,264,38,302
63571606,267,46,313
63571607,208,48,256
63571608,266,75,341
63571609,163,77,240
63571610,198,70,268
63571611,265,37,302
63571612,199,29,228
63571613,239,60,299
63571614,153,25,178
63571701,358,51,409
63571702,188,17,205
63571703,237,25,262
63571704,209,69,278
63571705,383,31,414
63571706,233,50,283
63571707,234,50,284
63571708,176,51,227
63571709,409,78,487
63571710,335,50,385
63571711,204,38,242
63571712,231,24,255
63571801,280,72,352
63571802,315,99,414
63571803,175,39,214
63571804,164,61,225
63571805,187,72,259
63571806,201,85,286
63571807,132,38,170
63571808,266,111,377
63571809,289,73,362
63571810,160,80,240
63571811,133,276,409
63571812,168,204,372
63571813,174,69,243
63571814,165,122,287
63571815,118,141,259
63571901,342,80,422
63571902,235,112,347
63571903,228,247,475
63571904,219,246,465
63571905,196,371,567
63571906,175,164,339
63571907,319,89,408
63571908,155,90,245
63571909,148,86,234
63571910,162,144,306
63571911,125,152,277
63571912,139,111,250
63571913,130,104,234
63572001,273,208,481
63572002,418,307,725
63572003,218,167,385
63572004,192,179,371
63572005,133,110,243
63572006,149,205,354
63572007,240,208,448
63572008,48,112,160
63572009,130,199,329
63572101,154,74,228
63572102,223,191,414
63572103,228,18,246
63572104,199,27,226
63572105,172,67,239
63572106,204,174,378
63572107,231,134,365
63572108,246,33,279
63572109,126,114,240
63572110,158,78,236
63572111,89,67,156
63572201,240,131,371
63572202,151,113,264
63572203,180,149,329
63572204,216,220,436
63572205,259,137,396
63572206,156,78,234
63572207,265,89,354
63572208,240,145,385
63572209,268,129,397
63572210,220,110,330
63572211,165,191,356
63572212,224,199,423
63572213,184,153,337
63572214,206,193,399
63572215,78,102,180
63572216,154,109,263
63572301,105,86,191
63572302,52,9,61
63572303,185,251,436
63572304,153,129,282
63572305,225,249,474
63572306,134,145,279
63572307,11,219,230
63572308,161,346,507
63572309,209,514,723
63572310,73,255,328
63572311,125,114,239
63572401,77,242,319
63572402,90,246,336
63572403,240,525,765
63572404,151,352,503
63572405,268,385,653
63572501,736,356,1092
63572502,288,830,1118
63572503,190,582,772
63572601,287,282,569
63572602,335,402,737
63572603,394,508,902
63572604,269,509,778
63572701,179,216,395
63572702,188,296,484
63572703,256,308,564
63572704,178,328,506
63572705,282,549,831
63572801,290,605,895
63572802,211,561,772
63572803,181,278,459
63572804,137,221,358
63572805,244,401,645
63572806,193,372,565
63572901,213,220,433
63572902,139,155,294
63572903,159,164,323
63572904,211,244,455
63572905,100,37,137
63572906,267,390,657
63573001,172,262,434
63573002,235,137,372
63573003,108,50,158
63573004,221,154,375
63573005,232,101,333
63573006,269,120,389
63573007,146,131,277
63573008,128,88,216
63573009,219,146,365
63573010,190,217,407
63573011,253,254,507
63573101,283,212,495
63573102,273,165,438
63573103,207,105,312
63573104,156,68,224
63573105,263,179,442
63573106,216,170,386
63573107,368,307,675
63573108,67,60,127
63573109,324,294,618
63573110,305,280,585
63573201,279,25,304
63573202,284,125,409
63573203,337,147,484
63573204,185,100,285
63573205,151,70,221
63573206,231,88,319
63573207,197,76,273
63573208,144,67,211
63573209,311,107,418
63573210,322,61,383
63573211,158,39,197
63573212,95,129,224
63573301,306,107,413
63573302,207,28,235
63573303,336,114,450
63573304,211,66,277
63573305,302,51,353
63573306,300,161,461
63573307,100,66,166
63573308,240,85,325
63573309,291,98,389
63573310,214,94,308
63573311,264,40,304
63573312,164,40,204
63573313,139,69,208
63573314,215,140,355
63573315,89,85,174
63573401,234,29,263
63573402,242,89,331
63573403,192,102,294
63573404,444,422,866
63573405,346,86,432
63573406,195,151,346
63573407,250,143,393
63573408,98,124,222
63573501,322,492,814
63573502,361,440,801
63573503,240,176,416
63573504,276,197,473
63573505,206,87,293
63573506,244,215,459
63573507,217,115,332
63573508,329,357,686
63573509,318,230,548
63573510,162,203,365
63573511,164,49,213
63573512,123,85,208
63573601,271,315,586
63573602,276,324,600
63573603,277,364,641
63573604,349,663,1012
63573605,69,178,247
63573701,151,121,272
63573702,236,238,474
63573703,240,345,585
63573704,155,60,215
63573705,184,247,431
63573706,314,430,744
63573707,268,405,673
63573708,173,217,390
63573709,185,137,322
63573801,278,624,902
63573802,258,313,571
63573803,304,486,790
63573804,362,644,1006
63573901,273,411,684
63573902,208,302,510
63573903,241,235,476
63573904,289,336,625
63573905,193,214,407
63573906,111,170,281
63573907,225,237,462
63573908,216,159,375
63573909,115,62,177
63574001,44,133,177
63574002,176,352,528
63574003,197,475,672
63574004,283,582,865
63574005,318,677,995
63574006,216,477,693
63574007,375,777,1152
63574008,238,447,685
63574101,112,401,513
63574102,204,539,743
63574103,342,770,1112
63574104,301,665,966
